date,category,description,amount
2025-10-01,Groceries,Weekly grocery shop at local market,65.50
2025-10-01,Transportation,Bus fare to work,2.75
2025-10-01,Dining,Lunch at cafe,12.80
2025-10-01,Entertainment,Movie ticket,15.00
2025-10-02,Utilities,Electricity bill payment,85.00
2025-10-02,Groceries,Milk and bread refill,5.20
2025-10-02,Personal Care,Haircut,25.00
2025-10-03,Housing,Monthly rent payment,1200.00
2025-10-03,Transportation,Gas for car,45.30
2025-10-03,Miscellaneous,New book purchase,18.99
2025-10-04,Groceries,Dinner ingredients,22.15
2025-10-04,Dining,Takeout pizza,28.50
2025-10-04,Health,Pharmacy prescription,14.50
2025-10-05,Entertainment,Subscription renewal (Netflix),19.99
2025-10-05,Transportation,Parking fee,6.00
2025-10-05,Shopping,New shirt,35.90
2025-10-06,Groceries,Fruit and snacks,11.75
2025-10-06,Dining,Coffee and pastry,7.50
2025-10-07,Health,Gym membership fee,49.99
2025-10-07,Utilities,Internet bill,55.00
2025-10-08,Transportation,Train ticket for weekend trip,32.00
2025-10-08,Groceries,Bulk dry goods,40.10
2025-10-09,Shopping,Electronics-phone charger,15.00
2025-10-09,Dining,Dinner with friends,55.70
2025-10-10,Entertainment,Concert ticket deposit,50.00
2025-10-10,Miscellaneous,Donation to charity,10.00
2025-10-11,Groceries,Lunch items for the week,30.50
2025-10-11,Transportation,Uber ride,18.25
2025-10-12,Personal Care,New shampoo and soap,12.00
2025-10-12,Dining,Brunch outing,24.00
2025-10-13,Housing,Repair-plumbing issue,150.00
2025-10-13,Groceries,Snacks for movie night,9.50
2025-10-14,Health,Doctor's co-pay,20.00
2025-10-14,Shopping,New pair of shoes,75.00
2025-10-15,Utilities,Water bill,35.00
2025-10-15,Transportation,Toll road fee,4.50
2025-10-16,Groceries,Specialty cheese and wine,38.90
2025-10-16,Dining,Quick dinner out,16.50
2025-10-17,Entertainment,Video game purchase,59.99
2025-10-17,Miscellaneous,Postage and shipping,8.00
2025-10-18,Transportation,Public transit monthly pass,90.00
2025-10-18,Groceries,Fresh vegetables,14.75
2025-10-19,Personal Care,Manicure and pedicure,40.00
2025-10-19,Dining,Coffee break,4.80
2025-10-20,Housing,Renter's insurance,15.00
2025-10-20,Shopping,Gift for a friend,25.00
2025-10-21,Health,Vitamins and supplements,30.00
2025-10-21,Groceries,Bakery items,7.25
2025-10-22,Transportation,Taxi fare home,15.50
2025-10-22,Utilities,Mobile phone bill,60.00
2025-10-23,Dining,Work lunch,11.50
